categoria,ent,fecha,popularity_score
Restaurantes,Baja California Sur,2016-11-27,41
Restaurantes,Baja California Sur,2016-12-04,49
Restaurantes,Baja California Sur,2016-12-11,33
Restaurantes,Baja California Sur,2016-12-18,47
Restaurantes,Baja California Sur,2016-12-25,45
Restaurantes,Baja California Sur,2017-01-01,85
Restaurantes,Baja California Sur,2017-01-08,55
Restaurantes,Baja California Sur,2017-01-15,46
Restaurantes,Baja California Sur,2017-01-22,51
Restaurantes,Baja California Sur,2017-01-29,42
Restaurantes,Baja California Sur,2017-02-05,45
Restaurantes,Baja California Sur,2017-02-12,48
Restaurantes,Baja California Sur,2017-02-19,48
Restaurantes,Baja California Sur,2017-02-26,57
Restaurantes,Baja California Sur,2017-03-05,67
Restaurantes,Baja California Sur,2017-03-12,57
Restaurantes,Baja California Sur,2017-03-19,35
Restaurantes,Baja California Sur,2017-03-26,42
Restaurantes,Baja California Sur,2017-04-02,43
Restaurantes,Baja California Sur,2017-04-09,44
Restaurantes,Baja California Sur,2017-04-16,27
Restaurantes,Baja California Sur,2017-04-23,53
Restaurantes,Baja California Sur,2017-04-30,37
Restaurantes,Baja California Sur,2017-05-07,45
Restaurantes,Baja California Sur,2017-05-14,36
Restaurantes,Baja California Sur,2017-05-21,66
Restaurantes,Baja California Sur,2017-05-28,64
Restaurantes,Baja California Sur,2017-06-04,39
Restaurantes,Baja California Sur,2017-06-11,40
Restaurantes,Baja California Sur,2017-06-18,44
Restaurantes,Baja California Sur,2017-06-25,49
Restaurantes,Baja California Sur,2017-07-02,41
Restaurantes,Baja California Sur,2017-07-09,37
Restaurantes,Baja California Sur,2017-07-16,46
Restaurantes,Baja California Sur,2017-07-23,34
Restaurantes,Baja California Sur,2017-07-30,47
Restaurantes,Baja California Sur,2017-08-06,36
Restaurantes,Baja California Sur,2017-08-13,51
Restaurantes,Baja California Sur,2017-08-20,69
Restaurantes,Baja California Sur,2017-08-27,39
Restaurantes,Baja California Sur,2017-09-03,41
Restaurantes,Baja California Sur,2017-09-10,51
Restaurantes,Baja California Sur,2017-09-17,27
Restaurantes,Baja California Sur,2017-09-24,35
Restaurantes,Baja California Sur,2017-10-01,43
Restaurantes,Baja California Sur,2017-10-08,37
Restaurantes,Baja California Sur,2017-10-15,43
Restaurantes,Baja California Sur,2017-10-22,55
Restaurantes,Baja California Sur,2017-10-29,48
Restaurantes,Baja California Sur,2017-11-05,34
Restaurantes,Baja California Sur,2017-11-12,44
Restaurantes,Baja California Sur,2017-11-19,39
Restaurantes,Baja California Sur,2017-11-26,44
Restaurantes,Baja California Sur,2017-12-03,48
Restaurantes,Baja California Sur,2017-12-10,47
Restaurantes,Baja California Sur,2017-12-17,54
Restaurantes,Baja California Sur,2017-12-24,61
Restaurantes,Baja California Sur,2017-12-31,90
Restaurantes,Baja California Sur,2018-01-07,41
Restaurantes,Baja California Sur,2018-01-14,53
Restaurantes,Baja California Sur,2018-01-21,33
Restaurantes,Baja California Sur,2018-01-28,45
Restaurantes,Baja California Sur,2018-02-04,56
Restaurantes,Baja California Sur,2018-02-11,58
Restaurantes,Baja California Sur,2018-02-18,38
Restaurantes,Baja California Sur,2018-02-25,66
